ward_no,year,ward_total
1,2018,502926
1,2019,504561
1,2020,133498
1,2021,95671
1,2022,263203
2,2018,553326
2,2019,569263
2,2020,213098
2,2021,167590
2,2022,339352
3,2018,604843
3,2019,548116
3,2020,192499
3,2021,163135
3,2022,320421
4,2018,1096329
4,2019,969646
4,2020,418269
4,2021,334918
4,2022,610894
5,2018,269984
5,2019,271603
5,2020,113716
5,2021,80117
5,2022,192887
6,2018,388692
6,2019,273560
6,2020,112745
6,2021,97185
6,2022,211712
7,2018,446247
7,2019,437540
7,2020,129383
7,2021,92925
7,2022,217261
8,2018,807336
8,2019,773167
8,2020,257117
8,2021,120101
8,2022,468029
9,2018,536375
9,2019,535882
9,2020,197389
9,2021,139441
9,2022,319481
10,2018,610952
10,2019,627290
10,2020,171320
10,2021,106591
10,2022,270543
11,2018,2349923
11,2019,2197193
11,2020,649349
11,2021,435484
11,2022,1163179
12,2018,704862
12,2019,626003
12,2020,200673
12,2021,130553
12,2022,372988
13,2018,501074
13,2019,414816
13,2020,159418
13,2021,121228
13,2022,274194
14,2018,947123
14,2019,922247
14,2020,290236
14,2021,204122
14,2022,517846
15,2018,625983
15,2019,607488
15,2020,207079
15,2021,143400
15,2022,252980
16,2018,508217
16,2019,489875
16,2020,179721
16,2021,144273
16,2022,313886
17,2018,932482
17,2019,870739
17,2020,269926
17,2021,217455
17,2022,479541
18,2018,830485
18,2019,1398539
18,2020,456052
18,2021,309869
18,2022,827795
19,2018,589171
19,2019,572392
19,2020,244483
19,2021,188621
19,2022,346996
20,2018,692371
20,2019,585163
20,2020,118476
20,2021,101971
20,2022,265311
21,2018,584209
21,2019,568302
21,2020,184630
21,2021,143297
21,2022,352735
22,2018,859296
22,2019,923746
22,2020,206611
22,2021,171708
22,2022,405254
23,2018,619520
23,2019,601640
23,2020,131548
23,2021,86190
23,2022,239420
24,2018,412106
24,2019,381681
24,2020,126932
24,2021,90261
24,2022,214101
25,2018,540421
25,2019,523406
25,2020,175869
25,2021,131096
25,2022,287624
